City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cuenca,-2.8833,-78.9833,51.8,87,90,0.94,EC,1613825181
1,ushuaia,-54.8,-68.3,48.2,87,75,3.44,AR,1613824680
2,pisco,-13.7,-76.2167,66.2,82,12,3.44,PE,1613824582
3,iqaluit,63.7506,-68.5145,-25.01,68,20,12.66,CA,1613824677
4,mayumba,-3.432,10.6554,82.53,75,97,6.51,GA,1613825182
5,east london,-33.0153,27.9116,75.2,73,40,21.85,ZA,1613824722
6,cidreira,-30.1811,-50.2056,77.22,59,0,6.96,BR,1613824686
7,yerbogachen,61.2767,108.0108,-28.66,84,0,4.34,RU,1613825182
8,panama city,8.9936,-79.5197,77.0,94,20,2.3,PA,1613825182
9,jackson,42.4165,-122.8345,37.0,93,75,0.51,US,1613825081
10,hilo,19.7297,-155.09,68.0,88,90,8.05,US,1613824504
11,codrington,-38.2667,141.9667,57.51,85,1,5.82,AU,1613824920
12,ponta do sol,32.6667,-17.1,55.0,84,100,5.99,PT,1613824706
13,albany,42.6001,-73.9662,21.99,65,13,6.31,US,1613824700
14,puerto ayora,-0.7393,-90.3518,75.0,93,100,3.0,EC,1613824680
15,harrismith,-28.2728,29.1295,82.17,19,0,15.35,ZA,1613825183
16,upernavik,72.7868,-56.1549,-19.95,86,100,14.29,GL,1613824742
17,novaya bryan,51.7159,108.2691,19.4,68,40,6.71,RU,1613825184
18,rikitea,-23.1203,-134.9692,78.93,70,90,8.41,PF,1613824680
19,qaanaaq,77.484,-69.3632,-30.6,78,9,0.98,GL,1613824718
20,north bend,43.4065,-124.2243,42.8,100,90,8.28,US,1613825184
21,sechura,-5.5569,-80.8222,73.65,74,0,9.64,PE,1613825184
22,jamestown,42.097,-79.2353,15.01,85,90,8.05,US,1613824561
23,wajima,37.4,136.9,48.88,70,90,14.79,JP,1613824894
24,pangoa,-12.1167,-73.0,73.51,77,44,1.54,PE,1613825185
25,norman wells,65.282,-126.8329,-14.8,76,90,12.66,CA,1613824726
26,butaritari,3.0707,172.7902,81.07,81,100,16.4,KI,1613824708
27,fairbanks,64.8378,-147.7164,-23.01,83,1,4.61,US,1613825186
28,new norfolk,-42.7826,147.0587,61.0,76,100,1.66,AU,1613824718
29,saskylakh,71.9167,114.0833,-21.28,86,100,6.76,RU,1613824789
30,naica,27.85,-105.4833,44.96,55,0,5.03,MX,1613825188
31,mikhaylovka,50.06,43.2379,24.01,53,98,7.0,RU,1613825188
32,richards bay,-28.783,32.0377,84.81,69,100,7.4,ZA,1613824722
33,ampanihy,-24.7,44.75,97.9,36,75,14.34,MG,1613825188
34,juba,4.8517,31.5825,99.61,10,100,5.06,SS,1613824940
35,talakan,50.3167,130.3667,-1.61,91,98,3.42,RU,1613825189
36,meulaboh,4.1363,96.1285,81.34,74,75,3.62,ID,1613824893
37,lagoa,39.05,-27.9833,52.34,66,87,21.81,PT,1613824733
38,najran,17.4924,44.1277,78.8,31,20,9.22,SA,1613825189
39,kieta,-6.2167,155.6333,81.63,76,33,2.01,PG,1613824885
40,sampit,-2.5333,112.95,76.64,89,98,3.0,ID,1613825189
41,adrar,20.5022,-10.0711,84.85,12,0,3.49,MR,1613824493
42,beira,-19.8436,34.8389,93.2,70,40,4.61,MZ,1613825190
43,hermanus,-34.4187,19.2345,73.0,55,0,8.99,ZA,1613824682
44,tanout,14.9709,8.8879,81.34,13,0,18.79,NE,1613825190
45,hasaki,35.7333,140.8333,53.6,50,0,5.75,JP,1613824649
46,port alfred,-33.5906,26.891,75.99,79,88,7.0,ZA,1613824687
47,bredasdorp,-34.5322,20.0403,77.0,31,0,17.27,ZA,1613824685
48,castro,-24.7911,-50.0119,68.34,81,89,6.11,BR,1613824539
49,palmer,42.1584,-72.3287,23.0,89,0,7.27,US,1613824904
50,hearst,49.6835,-83.6665,8.6,85,63,1.14,CA,1613824784
51,nikolskoye,59.7035,30.7861,19.4,73,40,13.42,RU,1613824677
52,souillac,-20.5167,57.5167,84.2,74,40,16.11,MU,1613824708
53,ukiah,39.1502,-123.2078,44.6,76,90,5.75,US,1613824750
54,maridi,4.9158,29.4742,95.22,12,18,6.29,SS,1613825192
55,kulashi,42.2044,42.3494,41.0,70,75,14.97,GE,1613825192
